hospital_id,KName,lon,lat,Str,PLZ,Ort,Bundesland,Adresse,KV,x_center_m,y_center_m,cell_size_m,rail_length_in_cell_km_1885,rail_segments_hitting_cell_1885,x_min,x_max,y_min,y_max
K000000316,Westerstede,7.919,53.2587,Lange Str. 38,26655,Westerstede,Niedersachsen,"Westerstede, Lange Straße 38, 26655 Westerstede",Niedersachsen,4182134.3212092416,3352053.6538081705,10000,11.556551910718651,3,4177134.3212092416,4187134.3212092416,3347053.6538081705,3357053.6538081705
K000000317,Christliches Kinderhospital Osnabrück GmbH,8.0522,52.2699,Johannisfreiheit 1,49074,Osnabrück,Niedersachsen,"Christliches Kinderhospital Osnabrück GmbH, Johannisfreiheit 1, 49074 Osnabrück",Niedersachsen,4188052.238148297,3241809.678331698,10000,31.862562178390665,9,4183052.238148297,4193052.238148297,3236809.678331698,3246809.678331698
K000000318,Inselkrankenhaus Borkum,6.6712,53.5857,Gartenstr. 20,26757,Borkum,Niedersachsen,"Inselkrankenhaus Borkum, Gartenstraße 20, 26757 Borkum",Niedersachsen,4100611.7815453717,3391512.9889429323,10000,13.550131586823703,5,4095611.7815453717,4105611.7815453717,3386512.9889429323,3396512.9889429323
K000000319,STENUM Ortho GmbH,8.5553,53.0796,Heilstättenweg 1,27777,Ganderkesee,Niedersachsen,"STENUM Ortho GmbH, Heilstättenweg 1, 27777 Ganderkesee",Niedersachsen,4224186.446309893,3331095.23409276,10000,20.907312826721505,4,4219186.446309893,4229186.446309893,3326095.23409276,3336095.23409276
K000000320,Klinikum Bremen-Mitte,8.8365,53.0743,St.-Jürgen-Str. 1,28205,Bremen,Bremen,"Klinikum Bremen-Mitte, St.-Jürgen-Straße 1, 28205 Bremen",Bremen,4243018.849670724,3330167.130919364,10000,46.127910637847656,12,4238018.849670724,4248018.849670724,3325167.130919364,3335167.130919364
K000000321,Klinikum Bremen-Ost,8.9402,53.0643,Züricher Str. 40,28325,Bremen,Bremen,"Klinikum Bremen-Ost, Züricher Straße 40, 28325 Bremen",Bremen,4249952.141379786,3328948.0438532205,10000,43.22162006678692,7,4244952.141379786,4254952.141379786,3323948.0438532205,3333948.0438532205
K000000322,Klinikum Bremen-Nord,8.5937,53.1842,Hammersbecker Str. 228,28755,Bremen,Bremen,"Klinikum Bremen-Nord, Hammersbecker Straße 228, 28755 Bremen",Bremen,4226986.914862663,3342682.831570326,10000,16.462435005230116,3,4221986.914862663,4231986.914862663,3337682.831570326,3347682.831570326
K000000323,Klinikum Links der Weser,8.8187,53.0356,Senator-Weßling-Str. 1,28277,Bremen,Bremen,"Klinikum Links der Weser, Senator-Weßling-Str. 1, 28277 Bremen",Bremen,4241755.298188355,3325880.3290559216,10000,33.02919381246841,9,4236755.298188355,4246755.298188355,3320880.3290559216,3330880.3290559216
K000000324,DIAKO Ev. Diakonie-Krankenhaus gemeinnützige GmbH,8.7454,53.1258,Gröpelinger Heerstr. 406,28239,Bremen,Bremen,"DIAKO Ev. Diakonie-Krankenhaus gemeinnützige GmbH, Gröpelinger Heerstr. 406, 28239 Bremen",Bremen,4237013.658896045,3335998.9977402617,10000,24.15150898076569,10,4232013.658896045,4242013.658896045,3330998.9977402617,3340998.9977402617
K000000325,Krankenhaus St. Joseph-Stift Bremen GmbH,8.8359,53.0826,Schwachhauser Heerstr. 54,28209,Bremen,Bremen,"Krankenhaus St. Joseph-Stift Bremen GmbH, Schwachhauser Heerstraße 54, 28209 Bremen",Bremen,4242993.578344119,3331091.3018217604,10000,44.58834080028271,11,4237993.578344119,4247993.578344119,3326091.3018217604,3336091.3018217604
K000000326,Rotes Kreuz Krankenhaus Bremen gGmbH,8.8033,53.0693,St.-Pauli-Deich 24,28199,Bremen,Bremen,"Rotes Kreuz Krankenhaus Bremen gGmbH, St.-Pauli-Deich 24, 28199 Bremen",Bremen,4240784.6688620215,3329646.949825446,10000,38.93445349652334,11,4235784.6688620215,4245784.6688620215,3324646.949825446,3334646.949825446
K000000327,Roland Klinik gGmbH,8.8239,53.0566,Niedersachsendamm 72-74,28201,Bremen,Bremen,"Roland Klinik gGmbH, Niedersachsendamm 72-74, 28201 Bremen",Bremen,4242142.265394309,3328211.291312016,10000,40.02240698597098,11,4237142.265394309,4247142.265394309,3323211.291312016,3333211.291312016
