hospital_id,KName,lon,lat,Str,PLZ,Ort,Bundesland,Adresse,KV,x_center_m,y_center_m,cell_size_m,autobahn_length_in_cell_km_1939,autobahn_segments_hitting_cell_1939,x_min,x_max,y_min,y_max
K000001326,Krankenhaus Mainburg,11.7803,48.643,Laurentiusweg 1,84048,Mainburg,Bayern,"Krankenhaus Mainburg, Laurentiusweg 1, 84048 Mainburg",Bayern,4452229.530549595,2838209.131183277,30000,9.447716179418078,1,4437229.530549595,4467229.530549595,2823209.131183277,2853209.131183277
K000001327,Schön Klinik Roseneck SE & Co. KG,12.3625,47.8592,Am Roseneck 6,83209,Prien am Chiemsee,Bayern,"Schön Klinik Roseneck SE & Co. KG, Am Roseneck 6, 83209 Prien am Chiemsee",Bayern,4497848.66090306,2752336.2651726454,30000,31.961276431962638,1,4482848.66090306,4512848.66090306,2737336.2651726454,2767336.2651726454
K000001328,Klinikum rechts der Isar der Technischen Universität München,11.6012,48.1374,Ismaninger Str. 22,81675,München,Bayern,"Klinikum rechts der Isar der Technischen Universität München, Ismaninger Straße 22, 81675 München",Bayern,4440220.765850077,2781719.513034927,30000,22.071102313163177,3,4425220.765850077,4455220.765850077,2766719.513034927,2796719.513034927
K000001329,Schön Klinik Vogtareuth,12.1873,47.9487,Krankenhausstr. 20,83569,Vogtareuth,Bayern,"Schön Klinik Vogtareuth, Krankenhausstraße 20, 83569 Vogtareuth",Bayern,4484452.032734642,2761875.052126113,30000,8.58549420357816,1,4469452.032734642,4499452.032734642,2746875.052126113,2776875.052126113
K000001330,BRK Tagesklinik Süd,11.512,48.0958,Perchtingerstr. 5,81379,München,Bayern,"BRK Tagesklinik Süd, Perchtingerstraße 5, 81379 München",Bayern,4433672.50243575,2776957.041637742,30000,28.92653215941207,2,4418672.50243575,4448672.50243575,2761957.041637742,2791957.041637742
K000001331,Veramedklinik am Wendelstein,12.0922,47.739,Mühlenstr. 60,83098,Brannenburg,Bayern,"Veramedklinik am Wendelstein, Mühlenstrasse 60, 83098 Brannenburg",Bayern,4477988.897971599,2738374.306512677,30000,31.08510107027622,1,4462988.897971599,4492988.897971599,2723374.306512677,2753374.306512677
K000001332,Behandlungszentrum Kempfenhausen für Multiple Sklerose Kranke gemeinnützige GmbH,11.3645,47.9881,Milchberg 21,82335,Berg-Kempfenhausen,Bayern,"Behandlungszentrum Kempfenhausen für Multiple Sklerose Kranke gemeinnützige GmbH, Milchberg 21, 82335 Berg-Kempfenhausen",Bayern,4422897.761029899,2764775.6625319263,30000,0.0,0,4407897.761029899,4437897.761029899,2749775.6625319263,2779775.6625319263
K000001333,m&i Fachklinik Bad Heilbrunn,11.4602,47.7493,Wörnerweg 30,83670,Bad Heilbrunn,Bayern,"m&i Fachklinik Bad Heilbrunn, Wörnerweg 30, 83670 Bad Heilbrunn",Bayern,4430553.202933354,2738379.9033383816,30000,0.0,0,4415553.202933354,4445553.202933354,2723379.9033383816,2753379.9033383816
K000001334,"München Klinik Schwabing, München Klinik gGmbH",11.5784,48.1719,Kölner Platz 1,80804,München,Bayern,"München Klinik Schwabing, München Klinik gGmbH, Kölner Platz 1, 80804 München",Bayern,4438443.570464907,2785516.5650099004,30000,24.325534292717283,3,4423443.570464907,4453443.570464907,2770516.5650099004,2800516.5650099004
K000001335,"München Klinik Thalkirchner Straße, München Klinik gGmbH",11.5642,48.1285,Thalkirchner Str. 48,80337,München,Bayern,"München Klinik Thalkirchner Straße, München Klinik gGmbH, Thalkirchner Straße 48, 80337 München",Bayern,4437486.7437616335,2780671.539950395,30000,25.763298941953757,3,4422486.7437616335,4452486.7437616335,2765671.539950395,2795671.539950395
